rep,n,bin,method,bias,variance,rmse,binlabel
19,5,2,Samp,0.19981912774691665,0.06472260638976567,0.32349697093373886,10000-100000
19,5,3,Samp,0.2532875773588745,0.07942458655223117,0.3789184389767262,100000-1000000
19,10,0,Samp,0.05242844050907395,0.032990895779221735,0.18904929820931693,0-1000
19,10,1,Samp,0.057122469016994325,0.025261384871385146,0.1688915668053992,1000-10000
19,10,2,Samp,0.08228281217066012,0.020522065742014015,0.16520450030409628,10000-100000
19,10,3,Samp,0.0993121468598548,0.023483007196287594,0.18260862441352807,100000-1000000
19,25,0,Samp,0.019983119337258434,0.006783974183792042,0.08475434645042786,0-1000
19,25,1,Samp,0.01990560920365182,0.010838906582040026,0.10599594265729484,1000-10000
19,25,2,Samp,0.034138064438367144,0.006147564876043444,0.08551591851603742,10000-100000
19,25,3,Samp,0.032727661973312935,0.00477685101562832,0.07647189597406195,100000-1000000
20,5,0,Samp,0.20134651000390588,0.0782007216378879,0.34458836127855635,0-1000
20,5,1,Samp,0.23212701214339118,0.07879460167354493,0.36424929847586945,1000-10000
20,5,2,Samp,0.24385193712365108,0.08024357446349234,0.37377445298261014,10000-100000
20,5,3,Samp,0.2830162713374985,0.08992918835096007,0.41234378641218866,100000-1000000
20,10,0,Samp,0.05448802020282512,0.023836784401758144,0.1637245514496272,0-1000
20,10,1,Samp,0.0514816745220784,0.029238319568683373,0.1785740249316249,1000-10000
20,10,2,Samp,0.08289902558292354,0.023353335254216394,0.17385506520321634,10000-100000
20,10,3,Samp,0.10201822207729486,0.019306809907548614,0.17237902292147053,100000-1000000
20,25,0,Samp,0.01638114799027554,0.006901999058030024,0.08467786645581792,0-1000
20,25,1,Samp,0.01745244177915864,0.00899935882136588,0.09645696732440225,1000-10000
20,25,2,Samp,0.03831214738551607,0.007406495767172556,0.09420359018881426,10000-100000
20,25,3,Samp,0.04134891831070284,0.00646889509468504,0.0904357680353864,100000-1000000
21,5,0,Samp,0.1721356207028009,0.0745510712572437,0.3227719677604953,0-1000
21,5,1,Samp,0.1912210700917126,0.07229263701402443,0.32993656157062085,1000-10000
21,5,2,Samp,0.26708114544429107,0.08353702421268343,0.39353444889173045,10000-100000
21,5,3,Samp,0.23764896304904004,0.06520771297155006,0.348833402371152,100000-1000000
21,10,0,Samp,0.03232618340691483,0.026751921962502454,0.16672403574817865,0-1000
21,10,1,Samp,0.07062778422806089,0.02559904730768257,0.17489234177815818,1000-10000
21,10,2,Samp,0.10528898036076541,0.028508395043744104,0.1989828244576746,10000-100000
21,10,3,Samp,0.09681059570533432,0.02446351617969629,0.183945121219667,100000-1000000
21,25,0,Samp,0.017409998408048844,0.010374259703391023,0.10333134929903551,0-1000
21,25,1,Samp,0.017633039458032247,0.00895356014710149,0.0962521907679509,1000-10000
21,25,2,Samp,0.030094597765595265,0.005525369276972315,0.08019385320362957,10000-100000
21,25,3,Samp,0.038615358776091964,0.006272848335026846,0.08811353056388757,100000-1000000
22,5,0,Samp,0.1745550243470528,0.0791204335037242,0.33104363764996964,0-1000
22,5,1,Samp,0.20194087255963566,0.07984918703779381,0.34731729448436743,1000-10000
22,5,2,Samp,0.24026011957032486,0.07218443605478991,0.3604294121055282,10000-100000
22,5,3,Samp,0.23728116826092566,0.0640170161848236,0.346870824653924,100000-1000000
22,10,0,Samp,0.05111332037207285,0.03072856305373826,0.1825955491604229,0-1000
22,10,1,Samp,0.06239733828787641,0.02635238380695946,0.17391323018209728,1000-10000
22,10,2,Samp,0.07732540194047513,0.020500931855057188,0.16272722464392128,10000-100000
22,10,3,Samp,0.09779879100516908,0.018248334950048087,0.16677211539139516,100000-1000000
22,25,0,Samp,0.02549732707779892,0.009945763455677492,0.10293627710282585,0-1000
22,25,1,Samp,0.01662987752495991,0.009364238431345828,0.09818753107111408,1000-10000
22,25,2,Samp,0.03280193610693556,0.007059796853056822,0.09019846930752376,10000-100000
22,25,3,Samp,0.0391446509508038,0.006211275893082886,0.08799761128089302,100000-1000000
23,5,0,Samp,0.14319009955272446,0.05864876694833008,0.28133995727277916,0-1000
23,5,1,Samp,0.16701602710761357,0.06681508514187585,0.30774898611154994,1000-10000
23,5,2,Samp,0.2531744734987617,0.08270250874194193,0.383144649934352,10000-100000
23,5,3,Samp,0.23196215005709692,0.06823539662857248,0.34934486641094875,100000-1000000
23,10,0,Samp,0.044161888870197695,0.03272692990782416,0.18621815791272303,0-1000
23,10,1,Samp,0.05418179396264691,0.033881169800715726,0.1918771393306833,1000-10000
23,10,2,Samp,0.08820857684491466,0.02904060941410314,0.19188893257066275,10000-100000
23,10,3,Samp,0.09065564937656304,0.019388914635326226,0.16615463098936653,100000-1000000
23,25,0,Samp,0.0186274363033893,0.007752454546538933,0.0899968662219733,0-1000
23,25,1,Samp,0.02199398725252196,0.009727681242517628,0.10105155475192712,1000-10000
23,25,2,Samp,0.030047382118709796,0.008872395177152765,0.09886981515781511,10000-100000
23,25,3,Samp,0.029775090441263502,0.004787540486692201,0.07532659887103374,100000-1000000
24,5,0,Samp,0.1613478717077659,0.06774178081951583,0.3062269036582866,0-1000
24,5,1,Samp,0.17882668563164902,0.07118629411522079,0.321193520496945,1000-10000
24,5,2,Samp,0.22800348972395645,0.0709937420062906,0.3506840933555341,10000-100000
24,5,3,Samp,0.23725578401255334,0.07428943758234596,0.36135819435811517,100000-1000000
24,10,0,Samp,0.06905771235371333,0.029350837557792844,0.18471547090950735,0-1000
24,10,1,Samp,0.0763121468446616,0.032931415544482694,0.1968627930832129,1000-10000
24,10,2,Samp,0.1075345250705544,0.03235498492149875,0.2095677909499655,10000-100000
24,10,3,Samp,0.10294321571487462,0.02353168384543847,0.1847403299422129,100000-1000000
24,25,0,Samp,0.013981507800700774,0.01088231829796476,0.10525113233759444,0-1000
24,25,1,Samp,0.03301369754200624,0.009561029486982578,0.10320336095485286,1000-10000
24,25,2,Samp,0.03931367411330235,0.0067677937833435535,0.09117762201127255,10000-100000
24,25,3,Samp,0.047812014600802755,0.008310458804491272,0.10293904771600837,100000-1000000
25,5,0,Samp,0.13026643312508704,0.06639181546322594,0.2887233261486829,0-1000
25,5,1,Samp,0.16069771653558046,0.06447483866856722,0.3004972458581226,1000-10000
25,5,2,Samp,0.22113400894347157,0.06782742364636647,0.34165431880451597,10000-100000
25,5,3,Samp,0.23810391165050449,0.06944863711447921,0.35516490516061755,100000-1000000
25,10,0,Samp,0.06274166795677727,0.035367500315887195,0.19825240783880957,0-1000
25,10,1,Samp,0.08066307254300814,0.030021513023495257,0.1911231129287451,1000-10000
25,10,2,Samp,0.1042813873061725,0.0317172454790448,0.20637793781687216,10000-100000
25,10,3,Samp,0.0989990922684304,0.020528570212414464,0.17415335334809853,100000-1000000
25,25,0,Samp,0.020718397192263177,0.012435262135793188,0.1134218414504436,0-1000
25,25,1,Samp,0.030747076529540066,0.009547010073338585,0.10243238154242036,1000-10000
25,25,2,Samp,0.02682592952286005,0.006928260968896707,0.08745222389203239,10000-100000
25,25,3,Samp,0.036298728146485625,0.005200299413904742,0.08073349415798384,100000-1000000
