rep,n,method,rmse
44,10,mCal,11.994304543030953
44,10,Flex,16.041249540851933
44,25,BS,7.969668360808885
44,25,Rag,8.22299582833007
44,25,Supp,2272.8440408706424
44,25,Cal,19.0228708452246
44,25,mCal,7.437838813356399
44,25,Flex,8.040151444546296
45,5,BS,27.29840388178223
45,5,Rag,47.99713350382418
45,5,Supp,449.5102008256503
45,5,Cal,96.25477034890841
45,5,mCal,19.858542111859283
45,5,Flex,24.34539868670628
45,10,BS,15.05110816800494
45,10,Rag,16.28164497650049
45,10,Supp,411.70223516797876
45,10,Cal,47.76672491635516
45,10,mCal,11.723711014275775
45,10,Flex,16.286744615543476
45,25,BS,8.193183816912972
45,25,Rag,8.684190901923786
45,25,Supp,2893.415273931269
45,25,Cal,19.705122168267067
45,25,mCal,7.536753585326388
45,25,Flex,8.535496018429587
46,5,BS,27.632951482660385
46,5,Rag,48.36586823567611
46,5,Supp,480.24801501360014
46,5,Cal,97.69642438500443
46,5,mCal,20.705878050901944
46,5,Flex,27.004052254079166
46,10,BS,15.412012811346177
46,10,Rag,16.49802565088686
46,10,Supp,444.94490739470564
46,10,Cal,47.27944401921378
46,10,mCal,12.127448834423074
46,10,Flex,16.552679160379395
46,25,BS,8.232993647133277
46,25,Rag,8.650089304815932
46,25,Supp,7307.28635813981
46,25,Cal,19.07714276208866
46,25,mCal,7.7581411506840245
46,25,Flex,7.981434919034681
47,5,BS,25.47104784014865
47,5,Rag,48.45564744031759
47,5,Supp,461.727786152974
47,5,Cal,96.5628624061679
47,5,mCal,19.589749065506812
47,5,Flex,24.642837098493597
47,10,BS,14.76211678736485
47,10,Rag,15.36547737026092
47,10,Supp,430.99961011138305
47,10,Cal,47.116017383122355
47,10,mCal,11.65311249856272
47,10,Flex,15.859419303394139
47,25,BS,7.976184027756898
47,25,Rag,8.312852526168227
47,25,Supp,4160.9781625012965
47,25,Cal,18.864840440358417
47,25,mCal,7.563399559842973
47,25,Flex,7.608078555679586
48,5,BS,29.929506987228866
48,5,Rag,49.86585303059031
48,5,Supp,441.6672004261272
48,5,Cal,97.87465508618
48,5,mCal,19.87046781938333
48,5,Flex,26.653028761790864
48,10,BS,16.113250845685
48,10,Rag,16.82243531359305
48,10,Supp,418.53720644879235
48,10,Cal,47.3531507145128
48,10,mCal,12.613821829821628
48,10,Flex,16.76203189358602
48,25,BS,8.190343172336073
48,25,Rag,8.505588116170305
